结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首帧时间,总缓冲时间,首缓冲时间,平均缓冲比,缓冲次数,播放时长,下载时间,吞吐率,播放速率,解析成功率,再缓冲率,连接成功率,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项
2013-02-27 17:27:57.778868,土豆视频,222.50.124.86,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:34:19.886614,迅雷看看,222.50.124.58,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.23,2.80,13.86,NULL,NULL,NULL,NULL,NULL,0.00,29.85,4482.67,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:34:28.744370,迅雷看看,222.50.124.30,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.44,2.72,10.51,NULL,NULL,NULL,NULL,NULL,0.00,26.76,5000.23,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:34:34.267044,迅雷看看,110.209.253.254,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.26,2.80,9.63,NULL,NULL,NULL,NULL,NULL,0.00,25.45,5257.58,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:35:19.586820,迅雷看看,222.50.124.102,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.51,3.02,8.54,NULL,NULL,NULL,NULL,NULL,0.00,26.43,5063.43,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:35:23.241981,迅雷看看,222.50.124.18,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.23,2.93,12.17,NULL,NULL,NULL,NULL,NULL,0.00,28.19,4747.79,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:35:44.532734,迅雷看看,222.50.124.110,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.49,2.85,10.10,NULL,NULL,NULL,NULL,NULL,0.00,26.31,5086.13,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:40:56.729314,迅雷看看,222.50.124.54,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.46,2.79,7.69,NULL,NULL,NULL,NULL,NULL,0.00,23.72,5640.99,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:41:05.688942,迅雷看看,222.50.124.38,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.23,2.79,9.83,NULL,NULL,NULL,NULL,NULL,0.00,25.43,5261.51,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:41:13.659902,优酷视频,222.50.124.82,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,202.02,0.50,9.28,3.23,40.39,40.39,0.13,1.0,30.00,2124.56,6968.74,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
