结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-27 17:57:25.602249,taotaosou.com,222.50.124.102,NULL,taotaosou.com,taotaosou.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115.236.101.27,中国,浙江, 电信
2013-02-27 17:57:27.857984,twsapp.com,222.50.124.110,NULL,twsapp.com,twsapp.com,广东铁通TOPn网站,NULL,0.000,100,0,0.62,0.81,0.51,0.05,0.06,0.25,0.00,0.05,211.98.70.195,中国,湖南, 铁通
2013-02-27 17:57:30.633130,mediav.com,222.50.124.2,NULL,mediav.com,mediav.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.80.69.185,中国,上海, 电信
2013-02-27 17:57:33.008056,autohome.com.cn,222.50.124.50,NULL,autohome.com.cn,autohome.com.cn,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,219.148.35.250,中国,河北, 电信
2013-02-27 17:57:33.297233,v-56.com,222.50.124.26,NULL,v-56.com,v-56.com,广东铁通TOPn网站,NULL,0.000,100,0,11.81,18.15,11.47,0.65,0.28,6.54,0.00,0.89,59.32.180.16,中国,广东, 电信
2013-02-27 17:57:38.149794,4399.com,222.50.124.2,NULL,4399.com,4399.com,广东铁通TOPn网站,NULL,0.000,100,0,37.81,38.64,37.45,0.27,0.30,0.99,0.00,0.26,115.182.52.231,中国,北京, 移动
2013-02-27 17:57:39.107292,cntv.cn,222.50.124.90,NULL,cntv.cn,cntv.cn,广东铁通TOPn网站,NULL,0.000,100,0,32.31,32.57,31.93,0.10,0.14,0.44,0.01,0.07,202.108.8.82,中国,北京, 联通
2013-02-27 17:57:40.527924,华军软件园,222.50.124.66,NULL,华军软件园,www.onlinedown.net,下载类,NULL,0.000,100,0,37.42,38.35,36.08,0.88,1.02,2.08,0.00,0.87,221.130.12.62,中国,江苏, 移动
2013-02-27 17:57:47.279220,51.la,222.50.124.70,NULL,51.la,51.la,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117.21.226.199,中国,江西, 电信
2013-02-27 17:57:54.722077,QQ空间,222.50.124.42,NULL,QQ空间,www.qzone.qq.com,网页类,NULL,0.000,100,0,6.33,13.11,5.56,1.86,0.24,6.15,0.00,0.80,112.90.140.193,中国,广东, 联通
2013-02-27 17:58:02.160568,126.com,222.50.124.50,NULL,126.com,126.com,广东铁通TOPn网站,NULL,0.000,100,0,60.23,60.77,59.95,0.15,0.15,0.61,0.00,0.14,123.125.50.22,中国,北京, 联通
2013-02-27 17:58:05.114588,xunlei.com,222.50.124.110,NULL,xunlei.com,xunlei.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.251.57.164,中国,广东, 其它运营商
2013-02-27 17:58:06.738972,xcar.com.cn,222.50.124.102,NULL,xcar.com.cn,xcar.com.cn,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118.67.112.72,中国,北京, 其它运营商
2013-02-27 17:58:08.814597,178.com,222.50.124.70,NULL,178.com,178.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123.134.67.166,中国,山东, 联通
2013-02-27 17:58:10.316566,zqlx.com,222.50.124.2,NULL,zqlx.com,zqlx.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:58:12.674087,yx186.com,222.50.124.50,NULL,yx186.com,yx186.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
