结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-27 17:58:36.869087,广东铁通6-hazdx01(zdxd)电信出口,222.50.124.46,NULL,新浪,www.sina.com.cn,网页类,5,7,22.89,37.73,0.60,16.31,0.47,1.84,0.00,0.63,0.000,21,0,211.98.132.64,中国,北京, 铁通,7
2013-02-27 17:58:38.317942,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,17173.com,17173.com,广东铁通TOPn网站,2,30,2.41,8.42,0.59,3.01,0.30,1.26,0.00,0.48,83.333,90,75,61.135.181.176,中国,北京, 联通,30
2013-02-27 17:58:39.226715,广东铁通2-zhdx01(hxtl)电信出口,222.50.124.54,NULL,糗事百科,www.qiushibaike.com,网页类,1,13,32.50,58.25,0.62,25.32,1.51,4.30,0.00,1.27,12.821,39,5,183.203.15.209,中国,山西, 移动,13
2013-02-27 17:58:44.249559,广东铁通3-hzdx02(hyhr)电信出口,222.50.124.10,NULL,和讯网,www.hexun.com,网页类,0,13,27.34,53.45,0.57,15.36,3.63,28.70,0.00,8.54,0.000,39,0,219.239.236.198,中国,北京, 电信,13
2013-02-27 17:58:46.936743,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,flashget.com,flashget.com,广东铁通TOPn网站,0,24,22.39,120.17,0.67,43.85,0.98,5.02,0.00,1.81,75.000,72,54,221.123.176.106,中国,北京, 其它运营商,24
2013-02-27 17:58:55.467774,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,mediav.com,mediav.com,广东铁通TOPn网站,0,30,2.01,6.62,0.59,1.10,0.30,5.84,0.00,1.04,0.000,90,0,114.80.69.185,中国,上海, 电信,30
2013-02-27 17:58:58.476262,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,sinaimg.cn,sinaimg.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,0.0.0.0,NULL,NULL,NULL,0
2013-02-27 17:59:05.683334,广东铁通5-shdx(cdsj)电信出口,222.50.124.18,NULL,和讯网,www.hexun.com,网页类,6,13,30.16,43.29,0.58,15.19,0.42,1.82,0.00,0.60,0.000,39,0,219.239.236.199,中国,北京, 电信,13
2013-02-27 17:59:06.961289,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,53kf.com,53kf.com,广东铁通TOPn网站,1,18,17.11,33.59,0.59,15.07,0.19,0.77,0.00,0.21,24.074,54,13,122.227.58.188,中国,浙江, 电信,18
2013-02-27 17:59:06.983296,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,zqlx.com,zqlx.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,144.132.231.167,澳大利亚,NULL, 其它运营商,0
2013-02-27 17:59:07.223447,广东铁通2-huzlt02(bjdx)联通出口,222.50.124.94,NULL,优酷,www.youku.com,网页类,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,110.92.34.58,日本,NULL, 其它运营商,0
2013-02-27 17:59:14.202441,广东铁通2-gzlt02(gzhy)联通出口,222.50.124.74,NULL,QQ空间,www.qzone.qq.com,网页类,25,30,2.62,6.78,0.59,2.30,1.07,2.59,0.00,1.19,83.333,90,75,112.90.143.191,中国,广东, 联通,30
2013-02-27 17:59:17.565747,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,工商银行,www.icbc.com.cn,网页类,2,18,24.74,88.45,0.60,28.36,2.99,42.48,0.00,9.93,5.556,54,3,125.39.39.42,中国,天津, 联通,18
2013-02-27 17:59:19.382648,广东铁通2-zhdx01(hxtl)电信出口,222.50.124.54,NULL,广州网,www.020.com,网页类,0,15,3.44,8.70,0.57,2.32,0.42,3.42,0.00,0.88,0.000,45,0,120.31.61.171,中国,广东, 铁通,15
2013-02-27 17:59:24.536361,广东铁通5-yxzydx(ct)电信出口,222.50.124.42,NULL,poco,www.poco.cn,网页类,0,20,15.68,81.66,0.56,29.57,0.99,2.93,0.00,1.22,70.000,60,42,125.39.187.32,中国,天津, 联通,20
2013-02-27 17:59:27.204975,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,tom.com,tom.com,广东铁通TOPn网站,0,30,4.01,13.23,0.58,5.33,0.51,1.25,0.00,0.49,86.667,90,78,202.108.12.62,中国,北京, 联通,30
2013-02-27 17:59:27.411532,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,qiyi.com,qiyi.com,广东铁通TOPn网站,9,11,17.53,37.78,0.59,16.69,0.36,1.54,0.00,0.42,6.061,33,2,220.181.115.56,中国,北京, 电信,11
2013-02-27 17:59:36.090778,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,新浪,www.sina.com.cn,网页类,0,8,21.60,43.44,0.59,18.18,0.71,3.16,0.00,0.99,0.000,24,0,211.98.132.64,中国,北京, 铁通,8
2013-02-27 17:59:37.362646,广东铁通1-zsdx01(ncda)电信出口,222.50.124.26,NULL,zqlx.com,zqlx.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,245.80.191.150,IANA,NULL, 其它运营商,0
