结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-26 22:01:38.953796,222.50.124.38,NULL,www.gzmama.com,网页类,0.46,16.61,21.93,91.31,5101.81,7929.25,17591.25,202.44,80.6,100.00,100.00,100.00,100.00,100.00,58.248.62.22,中国,广东, 联通,1032.8,2334.7,200,50,96
2013-02-26 22:01:39.766652,222.50.124.30,NULL,www.poco.cn,网页类,0.47,109.47,123.59,565.67,44716.28,54552.40,54552.40,23.01,27.7,100.00,98.82,100.00,85.71,0.00,122.136.65.145,中国,吉林, 联通,1029.1,1533.3,200,50,98
2013-02-26 22:01:41.301066,222.50.124.110,NULL,eastmoney.com,广东铁通TOPn网站,0.20,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,222.73.55.186,中国,上海, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:01:42.873431,222.50.124.26,NULL,yunduan.cn,广东铁通TOPn网站,0.27,33.79,46.62,80.68,476.28,621.22,621.22,10.81,62.3,100.00,100.00,100.00,100.00,100.00,58.215.55.51,中国,江苏, 电信,5.2,4.5,200,3,3
2013-02-26 22:01:43.040408,222.50.124.54,NULL,126.net,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:01:46.087261,222.50.124.6,NULL,https://play.google.com/store,网页类,0.51,347.17,317.70,781.77,5975.96,25928.83,28632.33,99.44,50.3,100.00,97.50,100.00,97.50,100.00,74.125.235.195,美国,NULL, 其它运营商,594.3,488.4,200,40,40
2013-02-26 22:01:47.001157,222.50.124.70,NULL,189qas.com,广东铁通TOPn网站,0.51,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,116.228.171.120,中国,上海, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:01:47.293850,222.50.124.90,NULL,www.hexun.com,网页类,0.51,31.30,31.85,193.65,624.09,653.33,876.29,154.10,80.5,100.00,7.41,100.00,7.41,0.00,219.239.236.199,中国,北京, 电信,96.2,91.3,200,50,108
2013-02-26 22:01:47.869541,222.50.124.54,NULL,53kf.com,广东铁通TOPn网站,0.18,33.68,237.24,408.35,15654.64,17552.60,18334.51,41.11,39.4,100.00,100.00,100.00,100.00,100.00,122.227.58.188,中国,浙江, 电信,643.6,630.4,200,39,39
2013-02-26 22:01:48.299677,222.50.124.2,NULL,kandian.com,广东铁通TOPn网站,0.26,65.66,65.86,375.84,6183.30,17148.37,20953.77,90.03,62.7,100.00,100.00,100.00,100.00,100.00,123.126.53.254,中国,北京, 联通,556.7,531.6,302,50,72
2013-02-26 22:02:03.091191,222.50.124.26,NULL,1360.cn,广东铁通TOPn网站,0.40,28.12,28.97,118.62,59.35,118.62,118.62,20.87,64.3,100.00,66.67,100.00,66.67,0.00,58.68.151.179,中国,北京, 移动,1.2,0.7,302,3,3
2013-02-26 22:02:07.724154,222.50.124.70,NULL,taotaosou.com,广东铁通TOPn网站,0.26,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,115.236.101.27,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:02:08.428763,222.50.124.90,NULL,88210212.com,广东铁通TOPn网站,0.49,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,113.106.18.148,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:02:09.190204,222.50.124.54,NULL,snyu.com,广东铁通TOPn网站,0.39,33.83,34.77,68.98,3059.47,12700.84,12768.28,44.85,62.6,100.00,100.00,100.00,100.00,100.00,58.215.169.133,中国,江苏, 电信,137.2,132.1,200,18,18
2013-02-26 22:02:15.230939,222.50.124.18,NULL,www.163.com,网页类,0.28,79.16,144.10,1378.20,21585.37,24132.10,27096.90,34.75,30.6,100.00,100.00,100.00,100.00,100.00,223.87.1.58,中国,四川, 移动,750.0,719.8,200,50,84
2013-02-26 22:02:17.643902,222.50.124.22,NULL,www.gzmama.com,网页类,0.96,21.24,28.02,118.95,5586.45,8250.34,8852.12,184.88,78.8,100.00,100.00,100.00,100.00,100.00,58.248.62.30,中国,广东, 联通,1032.8,2334.7,200,50,96
2013-02-26 22:02:18.845553,222.50.124.110,NULL,vipshop.com,广东铁通TOPn网站,0.51,29.92,29.88,1191.33,18391.60,19205.57,19205.57,12.48,42.0,100.00,66.67,100.00,20.83,0.00,180.186.22.30,中国,北京, 移动,229.5,225.5,301,15,48
