结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-26 22:35:47.033998,222.50.124.74,NULL,www.skycn.com,下载类,NULL,7.000,100,7,71.74,72.81,68.98,0.88,0.96,3.36,0.00,0.86,125.39.78.230,中国,天津, 联通
2013-02-26 22:35:50.944524,222.50.124.26,NULL,gtimg.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:35:51.217529,222.50.124.98,NULL,www.hl.cnc.cn,网页类,NULL,0.000,100,0,57.34,60.74,56.89,0.98,0.11,3.67,0.00,0.36,221.212.213.106,中国,黑龙江, 联通
2013-02-26 22:35:51.523236,222.50.124.90,NULL,gexing.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,122.225.115.203,中国,浙江, 电信
2013-02-26 22:35:54.357458,222.50.124.26,NULL,51.com,广东铁通TOPn网站,NULL,10.000,100,10,25.98,26.27,25.79,0.08,0.09,0.32,0.00,0.07,61.130.108.152,中国,浙江, 电信
2013-02-26 22:36:03.205933,222.50.124.130,NULL,www.cctv.com,网页类,NULL,0.000,100,0,31.87,32.85,31.57,0.20,0.20,1.16,0.01,0.18,122.70.142.160,中国,北京, 铁通
2013-02-26 22:36:04.844160,222.50.124.102,NULL,www.taobao.com,网页类,NULL,0.000,100,0,31.51,31.74,31.45,0.04,0.04,0.25,0.00,0.04,122.72.3.251,中国,中国NDC, 铁通
2013-02-26 22:36:07.649078,222.50.124.102,NULL,itc.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:36:08.651727,222.50.124.86,NULL,www.icbc.com.cn,网页类,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113.31.42.29,中国,北京, 其它运营商
2013-02-26 22:36:14.048828,222.50.124.114,NULL,www.kankan.com,网页类,NULL,0.000,100,0,2.79,2.94,2.67,0.05,0.06,0.22,0.00,0.05,61.235.96.93,中国,广东, 铁通
2013-02-26 22:36:20.462597,222.50.124.2,NULL,163.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123.58.180.7,中国,浙江, 移动
2013-02-26 22:36:21.159061,222.50.124.102,NULL,gtimg.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:36:24.639407,222.50.124.62,NULL,www.taobao.com,网页类,NULL,0.000,100,0,28.06,28.41,27.95,0.08,0.09,0.39,0.00,0.09,122.72.7.251,中国,中国NDC, 铁通
2013-02-26 22:36:30.178794,222.50.124.70,NULL,qzoneapp.com,广东铁通TOPn网站,NULL,5.000,100,5,16.22,17.51,11.76,1.23,1.33,4.82,0.02,1.23,58.251.150.154,中国,广东, 联通
2013-02-26 22:36:35.344722,222.50.124.50,NULL,126.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:36:37.474031,222.50.124.110,NULL,tanx.com,广东铁通TOPn网站,NULL,0.000,100,0,26.22,26.68,26.10,0.06,0.05,0.45,0.00,0.07,110.75.21.51,中国,浙江, 移动
2013-02-26 22:36:37.596070,222.50.124.26,NULL,wingdns.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.164.110.173,中国,浙江, 电信
2013-02-26 22:36:37.683825,222.50.124.78,NULL,www.jiayuan.com,网页类,NULL,0.000,100,0,31.98,33.49,31.66,0.33,0.24,1.58,0.00,0.31,59.151.18.32,中国,北京, 其它运营商
2013-02-26 22:36:42.099308,222.50.124.2,NULL,allyes.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116.246.18.251,中国,上海, 电信
2013-02-26 22:36:45.120381,222.50.124.26,NULL,kugou.com,广东铁通TOPn网站,NULL,0.000,100,0,12.41,13.12,12.27,0.12,0.11,0.71,0.00,0.12,113.106.27.250,中国,广东, 电信
2013-02-26 22:36:49.604361,222.50.124.2,NULL,155.com,广东铁通TOPn网站,NULL,0.000,100,0,56.87,60.66,56.04,0.82,0.71,4.18,0.00,0.73,119.188.11.3,中国,山东, 联通
2013-02-26 22:36:55.826740,222.50.124.26,NULL,adwo.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:36:59.610733,222.50.124.102,NULL,youku.com,广东铁通TOPn网站,NULL,0.000,100,0,43.16,43.79,43.03,0.10,0.10,0.71,0.00,0.11,119.167.145.19,中国,山东, 联通
2013-02-26 22:36:59.815678,222.50.124.90,NULL,kuaipan.cn,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.112.66.22,中国,江苏, 移动
2013-02-26 22:37:00.117780,222.50.124.2,NULL,kukuplay.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:37:00.806194,123.89.176.38,NULL,www.youku.com,网页类,NULL,0.000,100,0,24.27,24.66,23.95,0.14,0.12,0.58,0.00,0.12,122.72.120.241,中国,中国NDC, 铁通
2013-02-26 22:37:07.826768,222.50.124.62,NULL,www.hl.cnc.cn,网页类,NULL,0.000,100,0,79.88,80.20,79.74,0.08,0.09,0.39,0.00,0.07,221.212.213.106,中国,黑龙江, 联通
2013-02-26 22:37:13.030509,222.50.124.110,NULL,zqlx.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:37:13.349633,222.50.124.70,NULL,duba.net,广东铁通TOPn网站,NULL,9.000,100,9,54.67,56.01,50.04,1.17,1.27,4.51,0.06,1.19,114.112.68.197,中国,江苏, 移动
2013-02-26 22:37:26.941472,222.50.124.102,NULL,www.hexun.com,网页类,NULL,0.000,100,0,35.55,36.07,35.43,0.11,0.10,0.59,0.00,0.12,219.239.236.198,中国,北京, 电信
