2013-02-19 09:10:38 |广东铁通1-huzlt01(bjdx) |联通        |qzoneapp.com                  |56.895              |4972.429            |75.12207031         |94.73684211         |100.0               |58.251.150.154      |广东        |联通        
2013-02-19 09:09:59 |广东铁通1-zsdx01(ncda)  |电信        |yihaodian.com                 |298.732             |754.069             |255.4628906         |100.0               |100.0               |222.73.105.82       |上海        |电信        
2013-02-19 09:09:42 |广东铁通6-gzdx01(shrs)  |电信        |微博                            |93.102              |856.251             |175.1992188         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 09:09:29 |广东铁通3-hazlt01(bjdx) |联通        |天空软件站                         |629.296             |13986.145           |32.50585938         |100.0               |100.0               |125.39.78.230       |天津        |联通        
2013-02-19 09:09:28 |广东铁通1-gzlt01(gzhy)  |联通        |太平洋电脑网                        |135.522             |2302.595            |400.96875           |100.0               |100.0               |210.21.118.120      |广东        |联通        
2013-02-19 09:09:26 |广东铁通1-huzlt01(bjdx) |联通        |ppstream.com                  |61.541              |397.207             |3002.183594         |98.64864865         |100.0               |211.151.142.154     |北京        |联通        
2013-02-19 09:09:22 |广东铁通5-whlt01(zbyt)  |联通        |poco                          |489.673             |20599.914           |74.42480469         |100.0               |100.0               |218.8.51.23         |黑龙江       |联通        
2013-02-19 09:09:16 |广东铁通1-zsdx01(ncda)  |电信        |91dos.com                     |-                   |-                   |-                   |0.0                 |0.0                 |122.225.117.140     |浙江        |电信        
2013-02-19 09:09:01 |广东铁通1-zsdx01(ncda)  |电信        |51.com                        |354.964             |5481.299            |107.375             |100.0               |100.0               |61.130.108.152      |浙江        |电信        
2013-02-19 09:08:56 |广东铁通3-gzlt01(yxsh)  |联通        |黑龙江联通                         |129.143             |129.143             |6.064453125         |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 09:08:52 |广东铁通1-zsdx01(ncda)  |电信        |mop.com                       |367.11              |6652.058            |121.4580078         |95.3125             |100.0               |211.100.39.136      |北京        |电信        
2013-02-19 09:08:48 |广东铁通5-whlt01(zbyt)  |联通        |QQ空间                          |78.873              |134.152             |309.1699219         |100.0               |100.0               |112.90.143.191      |广东        |联通        
2013-02-19 09:08:02 |广东铁通1-fsrj01(dx)    |电信        |mop.com                       |721.712             |8265.23             |83.94921875         |100.0               |100.0               |211.100.39.135      |北京        |电信        
2013-02-19 09:08:01 |广东铁通2-zhdx01(hxtl)  |电信        |mop.com                       |372.273             |6970.259            |117.2773438         |100.0               |100.0               |211.100.39.135      |北京        |电信        
2013-02-19 09:07:51 |广东铁通1-gzlt01(shrs)  |联通        |tudou.com                     |394.788             |1147.254            |329.1464844         |5.369127517         |100.0               |123.126.98.173      |北京        |联通        
2013-02-19 09:07:35 |广东铁通1-asddx(mzzy)   |电信        |taobao.com                    |213.607             |8039.855            |202.3027344         |100.0               |100.0               |121.14.24.241       |广东        |电信        
2013-02-19 09:07:33 |广东铁通5-qylt02(xhht)  |联通        |QQ空间                          |133.133             |332.059             |114.9189453         |100.0               |100.0               |112.90.143.191      |广东        |联通        
2013-02-19 09:07:21 |广东铁通1-gzlt01(gzhy)  |联通        |QQ空间                          |73.422              |221.338             |166.0048828         |100.0               |100.0               |112.90.140.193      |广东        |联通        
2013-02-19 09:07:11 |广东铁通1-zsdx01(ncda)  |电信        |kuaiwan.com                   |401.05              |20098.07            |54.53613281         |100.0               |100.0               |122.225.115.167     |浙江        |电信        
2013-02-19 09:07:07 |广东铁通5-gzlt(asd)     |联通        |太平洋电脑网                        |125.652             |3807.302            |263.3808594         |100.0               |100.0               |210.21.118.120      |广东        |联通        
2013-02-19 09:07:02 |广东铁通1-gzlt01(gzhy)  |联通        |土豆网                           |285.739             |964.972             |372.4541016         |4.72972973          |100.0               |123.126.98.147      |北京        |联通        
2013-02-19 09:06:49 |广东铁通2-zhdx01(hxtl)  |电信        |wingdns.com                   |855.227             |1827.217            |35.01757812         |100.0               |100.0               |61.164.110.173      |浙江        |电信        
2013-02-19 09:06:45 |广东铁通5-fjlt01(zcyx)  |联通        |太平洋电脑网                        |61.326              |5593.227            |188.9550781         |100.0               |100.0               |210.21.118.120      |广东        |联通        
2013-02-19 09:06:42 |广东铁通5-gzlt(asd)     |联通        |工商银行                          |120.431             |319.588             |43.22851562         |100.0               |100.0               |125.39.39.42        |天津        |联通        
2013-02-19 09:06:30 |广东铁通3-huzlt03(bjdx) |联通        |环球网                           |249.421             |3934.433            |90.89746094         |77.77777778         |100.0               |125.39.187.20       |天津        |联通        
2013-02-19 09:06:24 |广东铁通1-asddx(mzzy)   |电信        |pconline.com.cn               |167.993             |3575.4              |281.6513672         |100.0               |100.0               |219.136.245.40      |广东        |电信        
2013-02-19 09:06:06 |广东铁通1-gzlt01(shrs)  |联通        |ifeng.com                     |417.293             |9513.885            |115.0351562         |66.1971831          |100.0               |123.125.72.60       |北京        |联通        
2013-02-19 09:06:01 |广东铁通3-hazlt01(bjdx) |联通        |广州妈妈网                         |36.134              |7837.365            |208.8115234         |100.0               |100.0               |58.248.62.34        |广东        |联通        
2013-02-19 09:05:49 |广东铁通5-gzlt(asd)     |联通        |土豆网                           |308.417             |19099.87            |115.1494141         |93.65079365         |100.0               |123.126.98.149      |北京        |联通        
2013-02-19 09:05:41 |广东铁通2-zhdx01(hxtl)  |电信        |yihaodian.com                 |318.725             |776.68              |248.3847656         |100.0               |100.0               |222.73.105.82       |上海        |电信        
2013-02-19 09:05:18 |广东铁通3-qylt01(gzhy)  |联通        |太平洋电脑网                        |107.26              |2067.345            |466.6074219         |100.0               |100.0               |210.21.118.120      |广东        |联通        
2013-02-19 09:05:09 |广东铁通4-zhdx(hyhr)    |电信        |微博                            |134.589             |879.02              |174.4121094         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 09:04:42 |广东铁通1-asddx(mzzy)   |电信        |qire123.com                   |169.502             |9336.344            |96.83203125         |100.0               |100.0               |222.76.213.74       |福建        |电信        
2013-02-19 09:04:42 |广东铁通1-gzlt01(shrs)  |联通        |mapbar.com                    |242.279             |20503.051           |11.97558594         |76.47058824         |100.0               |211.157.24.135      |北京        |联通        
2013-02-19 09:04:17 |广东铁通1-huzlt01(bjdx) |联通        |小说阅读网                         |254.314             |6337.5              |64.64355469         |100.0               |100.0               |60.210.23.65        |山东        |联通        
2013-02-19 09:04:01 |广东铁通5-fjlt01(zcyx)  |联通        |天空软件站                         |350.684             |7423.974            |50.59570312         |100.0               |100.0               |125.39.78.230       |天津        |联通        
2013-02-19 09:03:53 |广东铁通2-zhdx01(hxtl)  |电信        |ad-plus.cn                    |-                   |-                   |-                   |0.0                 |0.0                 |220.181.20.30       |北京        |电信        
2013-02-19 09:03:48 |广东铁通2-zhdx01(hxtl)  |电信        |53kf.com                      |382.386             |8736.698            |102.5556641         |100.0               |100.0               |122.227.58.188      |浙江        |电信        
2013-02-19 09:03:37 |广东铁通6-gddx(bgp)     |联通        |小说阅读网                         |502.205             |4020.339            |108.1113281         |100.0               |100.0               |60.210.23.74        |山东        |联通        
2013-02-19 09:03:17 |广东铁通2-zhdx01(hxtl)  |电信        |100bt.com                     |137.633             |3557.894            |374.9208984         |100.0               |100.0               |113.105.158.142     |广东        |电信        
2013-02-19 09:03:02 |广东铁通1-asddx(mzzy)   |电信        |aipai.com                     |105.186             |3147.709            |304.7617188         |100.0               |100.0               |121.10.241.89       |广东        |电信        
2013-02-19 09:02:32 |广东铁通1-fsrj01(dx)    |电信        |autohome.com.cn               |517.827             |9317.363            |64.9296875          |100.0               |100.0               |219.148.35.250      |河北        |电信        
2013-02-19 09:02:32 |广东铁通2-zhdx01(hxtl)  |电信        |chinagames.net                |-                   |-                   |-                   |0.0                 |0.0                 |183.60.26.242       |广东        |电信        
2013-02-19 09:02:19 |广东铁通4-hazlt01(lzk)  |联通        |QQ空间                          |125.73              |274.586             |144.5996094         |100.0               |100.0               |112.90.143.191      |广东        |联通        
2013-02-19 09:01:39 |广东铁通2-zhdx01(hxtl)  |电信        |51yes.com                     |-                   |-                   |-                   |0.0                 |0.0                 |119.147.114.19      |广东        |电信        
2013-02-19 09:01:12 |广东铁通1-huzlt01(bjdx) |联通        |QQ空间                          |20.433              |229.166             |179.734375          |100.0               |100.0               |112.90.140.193      |广东        |联通        
2013-02-19 09:01:10 |广东铁通1-fsrj01(dx)    |电信        |hexun.com                     |302.676             |10114.217           |83.25585938         |100.0               |100.0               |59.173.14.2         |湖北        |电信        
2013-02-19 09:00:29 |广东铁通1-gzlt01(gzhy)  |联通        |mapbar.com                    |234.323             |2670.867            |182.5722656         |95.23809524         |100.0               |211.157.24.135      |北京        |联通        
2013-02-19 09:00:06 |广东铁通1-gzlt01(gzhy)  |联通        |pengyou.com                   |240.061             |315.694             |130.9394531         |100.0               |100.0               |112.64.234.211      |上海        |联通        
2013-02-19 09:00:05 |广东铁通3-huzlt03(bjdx) |联通        |工商银行                          |95.896              |197.559             |54.02929688         |100.0               |100.0               |125.39.39.42        |天津        |联通        
2013-02-19 08:59:58 |广东铁通6-gzdx01(shrs)  |电信        |和讯网                           |218.665             |6887.823            |177.6826172         |100.0               |100.0               |219.239.236.198     |北京        |电信        
2013-02-19 08:59:38 |广东铁通1-zsdx01(ncda)  |电信        |189mv.cn                      |113.243             |2052.789            |698.0878906         |95.74468085         |100.0               |183.63.133.186      |广东        |电信        
2013-02-19 08:59:01 |广东铁通5-fjlt01(zcyx)  |联通        |poco                          |333.823             |18699.438           |58.00097656         |100.0               |100.0               |221.192.149.73      |河北        |联通        
2013-02-19 08:58:59 |广东铁通5-qylt02(xhht)  |联通        |太平洋电脑网                        |79.433              |2146.558            |467.9414062         |100.0               |100.0               |210.21.118.120      |广东        |联通        
