2013-02-19 06:48:57 |广东铁通6-gddx(bgp)     |联通        |土豆网                           |258.463             |15473.613           |129.5634766         |100.0               |100.0               |123.126.98.148      |北京        |联通
2013-02-19 06:45:22 |广东铁通6-gddx(bgp)     |联通        |优酷                            |175.371             |8711.15             |147.7294922         |98.7804878          |100.0               |122.72.120.241      |中国NDC     |铁通
2013-02-19 06:44:13 |广东铁通6-gddx(bgp)     |联通        |迅雷看看                          |71.441              |1271.716            |701.9199219         |98.18181818         |100.0               |61.235.96.93        |广东        |铁通
2013-02-19 06:37:07 |广东铁通6-gddx(bgp)     |联通        |新浪                            |267.738             |11184.202           |92.68945312         |100.0               |100.0               |211.98.132.67       |北京        |铁通
2013-02-19 06:26:55 |广东铁通6-gddx(bgp)     |联通        |太平洋电脑网                        |55.823              |1069.7              |886.9667969         |100.0               |100.0               |210.21.118.120      |广东        |联通
2013-02-19 06:18:28 |广东铁通6-gddx(bgp)     |联通        |poco                          |219.32              |14564.657           |105.3251953         |100.0               |100.0               |60.217.241.23       |山东        |联通
2013-02-19 06:16:32 |广东铁通6-gddx(bgp)     |联通        |糗事百科                          |168.541             |2906.628            |267.0947266         |100.0               |100.0               |183.203.15.209      |山西        |移动
2013-02-19 06:04:45 |广东铁通6-gddx(bgp)     |联通        |工商银行                          |107.603             |326.113             |32.70117188         |100.0               |100.0               |113.31.42.29        |北京        |其它运营商
2013-02-19 06:04:23 |广东铁通6-gddx(bgp)     |联通        |QQ空间                          |79.656              |166.683             |257.4541016         |100.0               |100.0               |112.90.140.193      |广东        |联通
2013-02-19 06:00:31 |广东铁通6-gddx(bgp)     |联通        |安卓商城官网                        |762.191             |16414.842           |96.71875            |95.0                |100.0               |74.125.235.197      |美国        |其它运营商
