结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首帧时间,总缓冲时间,首缓冲时间,平均缓冲比,缓冲次数,播放时长,下载时间,吞吐率,播放速率,解析成功率,再缓冲率,连接成功率,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项
2013-02-26 22:31:17.683519,222.50.124.114,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:33:51.583047,222.50.124.130,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:34:04.899724,222.50.124.74,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:34:09.494255,222.50.124.30,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,210.41,0.47,67.82,3.68,166.44,166.44,0.55,1.0,30.00,9991.23,1481.85,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:34:53.545917,222.50.124.22,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:35:00.245402,222.50.124.102,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,231.06,0.60,141.45,218.97,401.68,401.68,1.34,1.0,30.00,9910.21,1493.97,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:39:17.570235,123.89.176.38,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,198.51,0.53,9.49,3.18,132.60,132.60,0.44,1.0,30.00,3911.74,3784.89,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:40:27.978927,222.50.124.130,NULL,http://data.movie.kankan.com/movie/68445,视频类,0.55,2.92,9.68,NULL,NULL,NULL,NULL,NULL,0.00,26.53,5044.31,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-26 22:40:36.446544,222.50.124.26,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:40:44.625638,222.50.124.70,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,199.65,0.47,12.03,7.72,137.94,137.94,0.46,1.0,30.00,3276.56,4518.61,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:42:17.244166,222.50.124.102,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:42:19.764512,222.50.124.22,NULL,http://data.movie.kankan.com/movie/68445,视频类,0.27,2.94,3.32,NULL,NULL,NULL,NULL,NULL,0.00,19.54,6849.68,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-26 22:47:04.895426,222.50.124.66,NULL,http://data.movie.kankan.com/movie/68445,视频类,0.39,2.79,3.29,NULL,NULL,NULL,NULL,NULL,0.00,19.17,6979.00,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-26 22:47:10.130902,222.50.124.110,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
